FIPS,state,county,monthly_housing,annual_transportation ,annual_housing_transportation,total_cost,life_expectancy,male_life_expectancy,female_life_expectancy
18179,IN,Wells,911,14414,25346,40671,79.52,79.00,80.05
18181,IN,White,884,14641,25249,40774,78.25,77.67,78.81
18183,IN,Whitley,1022,14750,27014,42786,79.02,78.44,79.56
19001,IA,Adair,908,14388,25284,40580,79.44,78.68,80.21
19003,IA,Adams,878,14633,25169,40680,78.96,77.98,79.86
19005,IA,Allamakee,928,14302,25438,40668,79.9,79.28,80.52
19007,IA,Appanoose,821,13595,23447,37863,78.33,77.67,78.98
19009,IA,Audubon,763,14689,23845,39297,80.54,79.66,81.29
19011,IA,Benton,1138,15301,28957,45396,81.15,80.61,81.66
19013,IA,Black Hawk,1002,12823,24847,38672,79.42,79.05,79.79
19015,IA,Boone,1078,13938,26874,41890,78.98,78.45,79.53
19017,IA,Bremer,1106,14496,27768,43370,82.14,81.66,82.64
19019,IA,Buchanan,1020,14897,27137,43054,79.24,78.66,79.80
19021,IA,Buena Vista,883,14644,25240,40767,80.88,80.27,81.46
19023,IA,Butler,940,15037,26317,42294,80.23,79.62,80.81
19025,IA,Calhoun,849,13808,23996,38653,79.85,79.20,80.54
19027,IA,Carroll,856,14021,24293,39170,80.36,79.78,80.92
19029,IA,Cass,783,13562,22958,37303,78.84,78.21,79.49
19031,IA,Cedar,1029,15057,27405,43491,81.38,80.75,81.96
19033,IA,Cerro Gordo,965,12968,24548,38481,79.23,78.76,79.73
19035,IA,Cherokee,806,13990,23662,38458,80.13,79.50,80.71
19037,IA,Chickasaw,865,14378,24758,40001,80.71,80.09,81.36
19039,IA,Clarke,1004,14052,26100,41156,78.57,77.87,79.32
19041,IA,Clay,945,14300,25640,40885,80.29,79.71,80.89
19043,IA,Clayton,969,14763,26391,42123,80.5,79.95,81.07
19045,IA,Clinton,989,13662,25530,40181,78.7,78.25,79.17
19047,IA,Crawford,853,14514,24750,40117,80.33,79.74,80.90
19049,IA,Dallas,1392,14325,31029,46746,81.49,81.06,81.93
19051,IA,Davis,992,14812,26716,42520,79.84,79.11,80.59
19053,IA,Decatur,835,13289,23309,37433,78.29,77.47,79.05
19055,IA,Delaware,1059,15240,27948,44247,81.1,80.51,81.70
19057,IA,Des Moines,932,12939,24123,37994,79.15,78.67,79.66
19059,IA,Dickinson,1103,13844,27080,42027,81.27,80.70,81.84
19061,IA,Dubuque,1116,13284,26676,41076,80.03,79.66,80.40
19063,IA,Emmet,878,13982,24518,39378,79.65,78.95,80.36
19065,IA,Fayette,883,14059,24655,39597,79.9,79.33,80.48
19067,IA,Floyd,834,13820,23828,38482,79.72,79.13,80.28
19069,IA,Franklin,854,14923,25171,40948,80.28,79.66,80.99
19071,IA,Fremont,927,15199,26323,42449,78.84,78.11,79.59
19073,IA,Greene,886,14346,24978,40210,80.03,79.34,80.69
19075,IA,Grundy,987,15252,27096,43335,81.32,80.73,81.97
19077,IA,Guthrie,1039,16263,28731,46033,80.07,79.44,80.69
19079,IA,Hamilton,922,14437,25501,40860,80.42,79.81,81.08
19081,IA,Hancock,908,14596,25492,40996,80.81,80.15,81.42
19083,IA,Hardin,878,14676,25212,40766,79.74,79.14,80.30
19085,IA,Harrison,999,15321,27309,43629,78.08,77.41,78.75
19087,IA,Henry,940,13898,25178,40016,79.55,78.94,80.14
19089,IA,Howard,912,14834,25778,41524,80.32,79.63,81.02
19091,IA,Humboldt,893,14148,24864,39905,80.4,79.73,81.07
19093,IA,Ida,669,14434,22462,37565,79.51,78.78,80.27
19095,IA,Iowa,1099,15112,28300,44511,80.81,80.23,81.43
19097,IA,Jackson,991,14174,26066,41231,79.38,78.80,79.97
19099,IA,Jasper,1044,13782,26310,41136,79.82,79.32,80.33
19101,IA,Jefferson,884,12707,23315,36906,80.44,79.83,81.03
19103,IA,Johnson,1234,12622,27430,41286,82.08,81.69,82.50
19105,IA,Jones,1081,15052,28024,44157,80.75,80.17,81.34
19107,IA,Keokuk,875,14500,25000,40375,80.46,79.83,81.15
19109,IA,Kossuth,842,14568,24672,40082,81.38,80.79,81.94
19111,IA,Lee,877,13444,23968,38289,77.52,77.01,78.05
19113,IA,Linn,1158,13210,27106,41474,80.39,80.06,80.71
19115,IA,Louisa,959,14883,26391,42233,79.3,78.56,79.98
19117,IA,Lucas,1001,13857,25869,40727,79.19,78.45,79.93
19119,IA,Lyon,997,15894,27858,44749,81.05,80.44,81.67
19121,IA,Madison,1287,15657,31101,48045,79.7,79.09,80.33
19123,IA,Mahaska,942,14180,25484,40606,80.12,79.55,80.61
19125,IA,Marion,1016,14340,26532,41888,79.22,78.72,79.75
19127,IA,Marshall,971,14031,25683,40685,77.37,76.89,77.88
19129,IA,Mills,1260,15133,30253,46646,77.93,77.20,78.62
19131,IA,Mitchell,945,14784,26124,41853,81.45,80.80,82.13
19133,IA,Monona,781,13943,23315,38039,77.8,77.08,78.54
19135,IA,Monroe,1030,14221,26581,41832,77.84,77.10,78.66
19137,IA,Montgomery,838,13526,23582,37946,78.21,77.56,78.87
19139,IA,Muscatine,1073,13922,26798,41793,78.96,78.47,79.44
19141,IA,O'Brien,868,14045,24461,39374,80.26,79.66,80.84
19143,IA,Osceola,824,15131,25019,40974,80.29,79.55,81.06
19145,IA,Page,859,13489,23797,38145,78.76,78.12,79.36
19147,IA,Palo Alto,811,14144,23876,38831,79.52,78.82,80.20
19149,IA,Plymouth,1036,14984,27416,43436,80.64,80.09,81.19
19151,IA,Pocahontas,794,14463,23991,39248,79.89,79.22,80.60
19153,IA,Polk,1199,13204,27592,41995,78.97,78.69,79.23
19155,IA,Pottawattamie,1071,13874,26726,41671,77.86,77.44,78.30
19157,IA,Poweshiek,1018,14394,26610,42022,79.83,79.27,80.44
19159,IA,Ringgold,1044,14497,27025,42566,79.62,78.83,80.46
19161,IA,Sac,832,14708,24692,40232,79.82,79.15,80.49
19163,IA,Scott,1143,12392,26108,39643,79.34,79.01,79.71
19165,IA,Shelby,987,14843,26687,42517,80.92,80.28,81.55
19167,IA,Sioux,1026,16189,28501,45716,82.86,82.37,83.35
19169,IA,Story,1079,12784,25732,39595,82.12,81.71,82.52
19171,IA,Tama,983,15153,26949,43085,79.58,79.00,80.16
19173,IA,Taylor,819,14121,23949,38889,79.72,78.98,80.48
19175,IA,Union,905,13436,24296,38637,78.67,78.04,79.32
19177,IA,Van Buren,877,15279,25803,41959,78.65,77.91,79.40
19179,IA,Wapello,887,13132,23776,37795,77.67,77.18,78.18
19181,IA,Warren,1243,15147,30063,46453,80.02,79.55,80.47
19183,IA,Washington,1078,14805,27741,43624,80.51,79.96,81.06
19185,IA,Wayne,863,14640,24996,40499,78.39,77.59,79.17
19187,IA,Webster,844,12799,22927,36570,77.74,77.25,78.26
19189,IA,Winnebago,858,14011,24307,39176,80.68,80.01,81.39
19191,IA,Winneshiek,1093,15029,28145,44267,82.62,82.12,83.15
19193,IA,Woodbury,930,13200,24360,38490,78.35,77.95,78.75
19195,IA,Worth,841,14657,24749,40247,79.74,78.98,80.50
19197,IA,Wright,810,14071,23791,38672,80.32,79.75,80.94
20001,KS,Allen,865,12887,23267,37019,76.57,75.90,77.25
20003,KS,Anderson,975,13880,25580,40435,78.79,78.00,79.54
20005,KS,Atchison,937,13844,25088,39869,77.69,77.07,78.31
20007,KS,Barber,830,15387,25347,41564,77.63,76.74,78.46
20009,KS,Barton,843,13581,23697,38121,78.66,78.06,79.23
20011,KS,Bourbon,843,12674,22790,36307,77.03,76.38,77.69
20013,KS,Brown,804,13912,23560,38276,77.76,77.01,78.45
20015,KS,Butler,1186,14454,28686,44326,77.99,77.53,78.46
20017,KS,Chase,970,13598,25238,39806,78.17,77.07,79.24
20019,KS,Chautauqua,863,13711,24067,38641,77.08,76.06,78.04
20021,KS,Cherokee,879,14221,24769,39869,75.16,74.55,75.77
20023,KS,Cheyenne,881,14604,25176,40661,80.26,79.12,81.31
20025,KS,Clark,855,15437,25697,41989,78.44,77.34,79.57
20027,KS,Clay,1010,14897,27017,42924,79.88,79.15,80.58
20029,KS,Cloud,804,13011,22659,36474,78.52,77.80,79.20
20031,KS,Coffey,950,15125,26525,42600,77.88,77.08,78.63
20033,KS,Comanche,866,15040,25432,41338,76.9,75.74,78.05
20035,KS,Cowley,955,13580,25040,39575,76.47,75.88,77.03
20037,KS,Crawford,899,12705,23493,37097,76.81,76.31,77.35
20039,KS,Decatur,733,13533,22329,36595,79.27,78.28,80.23
20041,KS,Dickinson,993,14160,26076,41229,78.64,78.05,79.19
20043,KS,Doniphan,936,14694,25926,41556,79.01,78.25,79.75
20045,KS,Douglas,1190,12445,26725,40360,80.53,80.12,80.95
20047,KS,Edwards,768,14927,24143,39838,77.96,76.93,78.94
20049,KS,Elk,787,13517,22961,37265,77.27,76.32,78.22
20051,KS,Ellis,1032,13454,25838,40324,79.65,79.11,80.25
20053,KS,Ellsworth,856,13663,23935,38454,78.88,77.97,79.78
20055,KS,Finney,1029,14318,26666,42013,79.19,78.59,79.77
20057,KS,Ford,926,14707,25819,41452,78.5,77.91,79.07
20059,KS,Franklin,1147,14541,28305,43993,77.88,77.29,78.47
20061,KS,Geary,1129,12549,26097,39775,76.82,76.17,77.51
20063,KS,Gove,897,14983,25747,41627,79.63,78.59,80.59
20065,KS,Graham,712,14382,22926,38020,79.68,78.71,80.64
20067,KS,Grant,997,15061,27025,43083,78.29,77.37,79.18
20069,KS,Gray,1041,16877,29369,47287,79.35,78.37,80.24
20071,KS,Greeley,880,15209,25769,41858,78.2,76.96,79.40
20073,KS,Greenwood,825,13510,23410,37745,76.82,76.01,77.61
20075,KS,Hamilton,925,16054,27154,44133,77.63,76.45,78.76
20077,KS,Harper,916,14242,25234,40392,77.05,76.25,77.95
20079,KS,Harvey,1036,14007,26439,41482,79.17,78.66,79.72
20081,KS,Haskell,961,15892,27424,44277,79.19,78.21,80.25
20083,KS,Hodgeman,907,16218,27102,44227,80.05,78.92,81.16
20085,KS,Jackson,1115,14859,28239,44213,78.7,77.97,79.40
20087,KS,Jefferson,1156,15041,28913,45110,78.92,78.33,79.53
20089,KS,Jewell,746,14616,23568,38930,79.99,78.99,80.90
20091,KS,Johnson,1535,12774,31194,45503,81.7,81.46,81.94
20093,KS,Kearny,982,15674,27458,44114,77.66,76.62,78.68
20095,KS,Kingman,1038,15216,27672,43926,78.63,77.85,79.40
20097,KS,Kiowa,901,14235,25047,40183,79.29,78.26,80.32
20099,KS,Labette,884,13260,23868,38012,76.27,75.63,76.90
20101,KS,Lane,784,15802,25210,41796,78.22,76.98,79.57
20103,KS,Leavenworth,1308,13705,29401,44414,78.92,78.46,79.37
20105,KS,Lincoln,870,15029,25469,41368,79.2,78.21,80.17
20107,KS,Linn,960,15183,26703,42846,77.57,76.80,78.32
20109,KS,Logan,923,14514,25590,41027,78.67,77.62,79.72
20111,KS,Lyon,884,13063,23671,37618,78.91,78.39,79.45
20113,KS,McPherson,1015,14377,26557,41949,79.35,78.69,80.06
20115,KS,Marion,921,14863,25915,41699,80.23,79.55,80.90
20117,KS,Marshall,929,14275,25423,40627,79.26,78.71,79.85
20119,KS,Meade,896,15291,26043,42230,79.24,78.30,80.18
20121,KS,Miami,1364,14732,31100,47196,78.97,78.43,79.51
20123,KS,Mitchell,917,14303,25307,40527,79.12,78.34,79.95
20125,KS,Montgomery,817,13405,23209,37431,76.26,75.66,76.84
20127,KS,Morris,946,14827,26179,41952,79.85,79.10,80.68
20129,KS,Morton,961,14594,26126,41681,77.79,76.71,78.85
20131,KS,Nemaha,947,14713,26077,41737,80.23,79.58,80.92
20133,KS,Neosho,848,14046,24222,39116,77.32,76.64,77.96
20135,KS,Ness,846,14966,25118,40930,79.38,78.47,80.26
20137,KS,Norton,856,14080,24352,39288,79.46,78.60,80.28
20139,KS,Osage,1013,14440,26596,42049,77.67,77.01,78.28
20141,KS,Osborne,801,14369,23981,39151,79.24,78.39,80.14
20143,KS,Ottawa,1004,15402,27450,43856,78.15,77.34,78.98
20145,KS,Pawnee,862,13834,24178,38874,78.82,77.99,79.65
20147,KS,Phillips,800,14552,24152,39504,78.37,77.53,79.21
20149,KS,Pottawatomie,1093,14991,28107,44191,79.64,79.02,80.22
20151,KS,Pratt,948,14227,25603,40778,78.39,77.63,79.16
20153,KS,Rawlins,1059,14501,27209,42769,80.14,79.17,81.06
20155,KS,Reno,929,13646,24794,39369,78.4,77.95,78.86
20157,KS,Republic,814,14304,24072,39190,79.53,78.79,80.34
20159,KS,Rice,851,14993,25205,41049,77.43,76.63,78.25
20161,KS,Riley,1116,12390,25782,39288,81.46,80.96,81.94
20163,KS,Rooks,845,14327,24467,39639,78.51,77.62,79.37
20165,KS,Rush,814,13968,23736,38518,79.29,78.35,80.30
20167,KS,Russell,806,14003,23675,38484,78.91,78.14,79.68
20169,KS,Saline,1049,12845,25433,39327,78.53,78.09,79.00
20171,KS,Scott,1380,14417,30977,46774,78.37,77.42,79.34
20173,KS,Sedgwick,1086,13140,26172,40398,77.65,77.35,77.90
20175,KS,Seward,970,14310,25950,41230,78.38,77.65,79.02
20177,KS,Shawnee,1059,12304,25012,38375,77.75,77.39,78.09
20179,KS,Sheridan,910,14971,25891,41772,80,78.98,81.05
20181,KS,Sherman,784,11703,21111,33598,78.33,77.37,79.19
20183,KS,Smith,885,14649,25269,40803,79.57,78.72,80.45
20185,KS,Stafford,838,15027,25083,40948,77.86,77.00,78.69
20187,KS,Stanton,852,14189,24413,39454,78.63,77.47,79.77
20189,KS,Stevens,1088,15313,28369,44770,79,78.03,79.93
20191,KS,Sumner,1010,14709,26829,42548,77.25,76.69,77.82
20193,KS,Thomas,924,14822,25910,41656,79.3,78.45,80.08
20195,KS,Trego,892,14697,25401,40990,78.66,77.71,79.62
20197,KS,Wabaunsee,1060,15683,28403,45146,79.1,78.25,79.91
20199,KS,Wallace,827,15759,25683,42269,79.47,78.30,80.65
20201,KS,Washington,875,14998,25498,41371,80.34,79.54,81.09
20203,KS,Wichita,950,15460,26860,43270,79.3,78.22,80.35
20205,KS,Wilson,784,13918,23326,38028,76.36,75.59,77.09
20207,KS,Woodson,749,13546,22534,36829,76.91,75.88,77.86
20209,KS,Wyandotte,1008,12446,24542,37996,75.35,74.94,75.75
21001,KY,Adair,785,13035,22455,36275,76.84,76.20,77.47
21003,KY,Allen,843,14235,24351,39429,75.88,75.22,76.56
21005,KY,Anderson,1046,14320,26872,42238,77.24,76.61,77.89
21007,KY,Ballard,896,14440,25192,40528,75.74,74.88,76.58
21009,KY,Barren,836,12898,22930,36664,76.33,75.82,76.86
21011,KY,Bath,820,13334,23174,37328,74.56,73.75,75.40
21013,KY,Bell,675,10956,19056,30687,72.72,72.11,73.33
21015,KY,Boone,1282,13425,28809,43516,78.9,78.50,79.29
21017,KY,Bourbon,947,14378,25742,41067,76.95,76.33,77.57
21019,KY,Boyd,946,12435,23787,37168,76.01,75.55,76.52
21021,KY,Boyle,938,12394,23650,36982,77.02,76.49,77.59
21023,KY,Bracken,958,14913,26409,42280,75.19,74.35,76.04
21025,KY,Breathitt,799,11783,21371,33953,70.22,69.45,71.00
21027,KY,Breckinridge,839,14367,24435,39641,76.2,75.54,76.83
21029,KY,Bullitt,1132,13871,27455,42458,78.56,78.08,79.01
21031,KY,Butler,813,14479,24235,39527,75.8,75.10,76.51
21033,KY,Caldwell,748,14026,23002,37776,75.39,74.67,76.09
21035,KY,Calloway,860,12359,22679,35898,77.42,76.85,77.95
21037,KY,Campbell,1115,12817,26197,40129,77.56,77.12,77.98
21039,KY,Carlisle,816,13656,23448,37920,76.62,75.69,77.53
21041,KY,Carroll,834,13177,23185,37196,74.19,73.41,75.00
21043,KY,Carter,807,12843,22527,36177,74.99,74.33,75.61
21045,KY,Casey,821,13127,22979,36927,75.14,74.45,75.81
21047,KY,Christian,904,13032,23880,37816,75.57,75.07,76.06
21049,KY,Clark,1002,13862,25886,40750,75.77,75.23,76.33
21051,KY,Clay,685,11638,19858,32181,71.78,71.10,72.43
21053,KY,Clinton,793,12714,22230,35737,74.15,73.31,75.01
21055,KY,Crittenden,756,13245,22317,36318,75.14,74.37,75.95
21057,KY,Cumberland,665,12748,20728,34141,74.05,73.24,74.93
21059,KY,Daviess,929,12824,23972,37725,77.58,77.16,77.99
21061,KY,Edmonson,896,14636,25388,40920,77.59,76.84,78.31
21063,KY,Elliott,718,12086,20702,33506,75.6,74.67,76.50
21065,KY,Estill,760,12402,21522,34684,73.23,72.50,74.00
21067,KY,Fayette,1102,12348,25572,39022,78.4,78.09,78.73
21069,KY,Fleming,839,13184,23252,37275,74.47,73.74,75.19
21071,KY,Floyd,724,11714,20402,32840,71.97,71.39,72.58
21073,KY,Franklin,1001,13028,25040,39069,77.02,76.55,77.52
21075,KY,Fulton,703,12322,20758,33783,72.93,72.02,73.80
21077,KY,Gallatin,984,14172,25980,41136,73.25,72.37,74.13
21079,KY,Garrard,987,14504,26348,41839,77.56,76.90,78.18
21081,KY,Grant,1042,14367,26871,42280,75.37,74.77,75.96
21083,KY,Graves,832,13445,23429,37706,76.07,75.53,76.60
21085,KY,Grayson,808,13169,22865,36842,74.94,74.30,75.57
21087,KY,Green,784,13312,22720,36816,77.19,76.44,77.92
21089,KY,Greenup,967,13293,24897,39157,75.98,75.44,76.52
21091,KY,Hancock,895,14244,24984,40123,77.17,76.30,78.07
21093,KY,Hardin,1000,13364,25364,39728,77.18,76.75,77.60
21095,KY,Harlan,699,11632,20020,32351,71.45,70.83,72.07
21097,KY,Harrison,900,12940,23740,37580,75.71,75.03,76.36
21099,KY,Hart,727,13003,21727,35457,75.48,74.82,76.13
21101,KY,Henderson,839,13165,23233,37237,76.54,76.04,77.07
21103,KY,Henry,1022,14542,26806,42370,76.21,75.53,76.91
21105,KY,Hickman,833,13961,23957,38751,76.69,75.72,77.57
21107,KY,Hopkins,800,13490,23090,37380,75.01,74.51,75.49
21109,KY,Jackson,575,12556,19456,32587,73.31,72.51,74.03
21111,KY,Jefferson,1111,11913,25245,38269,77.01,76.78,77.24
21113,KY,Jessamine,1176,14025,28137,43338,77.54,77.07,78.05
21115,KY,Johnson,824,12170,22058,35052,73.54,72.90,74.18
21117,KY,Kenton,1110,12458,25778,39346,77.06,76.66,77.44
21119,KY,Knott,721,12544,21196,34461,72.98,72.23,73.75
21121,KY,Knox,751,11955,20967,33673,73.25,72.66,73.86
21123,KY,Larue,870,14665,25105,40640,76.69,75.97,77.39
21125,KY,Laurel,847,12289,22453,35589,75.49,75.01,75.99
21127,KY,Lawrence,756,12662,21734,35152,73.37,72.62,74.10
21129,KY,Lee,735,11373,20193,32301,71.61,70.64,72.55
21131,KY,Leslie,533,12150,18546,31229,71.17,70.27,72.05
21133,KY,Letcher,684,12131,20339,33154,72.35,71.73,73.03
21135,KY,Lewis,703,12668,21104,34475,74.84,74.09,75.60
21137,KY,Lincoln,810,13108,22828,36746,75.37,74.71,76.00
21139,KY,Livingston,864,14232,24600,39696,75.37,74.66,76.09
21141,KY,Logan,851,13100,23312,37263,75.81,75.24,76.34
21143,KY,Lyon,1090,13206,26286,40582,76.61,75.83,77.40
21145,KY,McCracken,912,12464,23408,36784,77.19,76.76,77.64
21147,KY,McCreary,656,10897,18769,30322,72.6,71.81,73.39
21149,KY,McLean,859,14810,25118,40787,76.62,75.93,77.28
21151,KY,Madison,970,13104,24744,38818,76.46,75.91,77.00
21153,KY,Magoffin,847,11938,22102,34887,72.56,71.76,73.41
21155,KY,Marion,869,13253,23681,37803,75,74.32,75.72
21157,KY,Marshall,957,13930,25414,40301,76.41,75.99,76.88
21159,KY,Martin,877,11196,21720,33793,72.85,72.15,73.54
21161,KY,Mason,901,12863,23675,37439,75.59,74.87,76.31
21163,KY,Meade,991,14151,26043,41185,77.29,76.66,77.90
21165,KY,Menifee,705,13738,22198,36641,74.79,73.83,75.76
21167,KY,Mercer,939,13969,25237,40145,76.03,75.38,76.65
21169,KY,Metcalfe,679,13633,21781,36093,74.69,73.87,75.46
21171,KY,Monroe,749,12847,21835,35431,73.83,73.04,74.58
21173,KY,Montgomery,879,12636,23184,36699,75.98,75.35,76.64
21175,KY,Morgan,811,12162,21894,34867,75.65,74.91,76.41
21177,KY,Muhlenberg,823,13288,23164,37275,75.03,74.46,75.57
21179,KY,Nelson,1011,14492,26624,42127,77.42,76.89,77.95
21181,KY,Nicholas,778,13300,22636,36714,73.84,72.95,74.73
21183,KY,Ohio,744,14168,23096,38008,76.01,75.40,76.66
21185,KY,Oldham,1622,14523,33987,50132,79.56,79.04,80.04
21187,KY,Owen,854,14267,24515,39636,76.62,75.85,77.43
21189,KY,Owsley,762,11745,20889,33396,70.21,69.19,71.24
21191,KY,Pendleton,947,14932,26296,42175,75.63,74.88,76.38
21193,KY,Perry,739,11799,20667,33205,70.6,69.93,71.22
21195,KY,Pike,846,12051,22203,35100,72.41,71.93,72.91
21197,KY,Powell,847,12297,22461,35605,71.6,70.83,72.39
21199,KY,Pulaski,840,12363,22443,35646,75.19,74.70,75.66
21201,KY,Robertson,892,13108,23812,37812,74.98,73.76,76.06
21203,KY,Rockcastle,794,14057,23585,38436,74.17,73.44,74.88
21205,KY,Rowan,746,12428,21380,34554,75.91,75.28,76.55
21207,KY,Russell,827,12341,22265,35433,75.58,74.87,76.22
21209,KY,Scott,1110,14154,27474,42738,78.07,77.53,78.59
21211,KY,Shelby,1219,14299,28927,44445,78.42,77.95,78.94
21213,KY,Simpson,899,13254,24042,38195,75.86,75.18,76.56
21215,KY,Spencer,1204,14953,29401,45558,77.64,76.90,78.35
21217,KY,Taylor,800,12272,21872,34944,76.02,75.41,76.65
21219,KY,Todd,841,14447,24539,39827,75.78,75.00,76.50
21221,KY,Trigg,948,15132,26508,42588,76.29,75.61,77.02
21223,KY,Trimble,1055,14768,27428,43251,76.32,75.48,77.15
21225,KY,Union,810,13825,23545,38180,75.23,74.48,75.97
21227,KY,Warren,930,12824,23984,37738,77.26,76.82,77.69
21229,KY,Washington,960,14689,26209,41858,77.76,77.05,78.53
21231,KY,Wayne,672,12390,20454,33516,75.52,74.89,76.14
21233,KY,Webster,815,13350,23130,37295,75.22,74.48,75.95
21235,KY,Whitley,797,12106,21670,34573,72.59,71.97,73.17
21237,KY,Wolfe,643,10969,18685,30297,71.15,70.25,72.07
21239,KY,Woodford,1137,14661,28305,44103,78.17,77.62,78.78
22001,LA,Acadia,803,14021,23657,38481,74.23,73.68,74.74
22003,LA,Allen,698,13264,21640,35602,77.13,76.50,77.73
22005,LA,Ascension,1231,13987,28759,43977,77.14,76.67,77.60
22007,LA,Assumption,927,14433,25557,40917,76.84,76.20,77.49
22009,LA,Avoyelles,770,12481,21721,34972,74.03,73.46,74.59
22011,LA,Beauregard,925,14174,25274,40373,75.09,74.52,75.72
22013,LA,Bienville,788,12537,21993,35318,73.9,73.10,74.57
22015,LA,Bossier,1115,12945,26325,40385,77.14,76.75,77.55
22017,LA,Caddo,985,12288,24108,37381,74.89,74.53,75.25
22019,LA,Calcasieu,957,13117,24601,38675,75.13,74.78,75.52
22021,LA,Caldwell,647,12918,20682,34247,73.06,72.25,73.85
22023,LA,Cameron,751,15225,24237,40213,78.15,77.28,79.05
22025,LA,Catahoula,778,12815,22151,35744,73.17,72.33,74.04
22027,LA,Claiborne,816,12384,22176,35376,75.48,74.75,76.19
22029,LA,Concordia,657,11218,19102,30977,73.94,73.22,74.63
22031,LA,De Soto,860,13871,24191,38922,74.86,74.22,75.54
22033,LA,East Baton Rouge,1128,12483,26019,39630,76.35,76.03,76.66
22035,LA,East Carroll,623,10020,17496,28139,72.17,71.27,73.13
22037,LA,East Feliciana,1014,14983,27151,43148,72.64,71.97,73.34
22039,LA,Evangeline,728,11983,20719,33430,74.05,73.44,74.65
22041,LA,Franklin,732,12299,21083,34114,73.62,72.93,74.29
22043,LA,Grant,879,14009,24557,39445,74.75,74.03,75.41
22045,LA,Iberia,955,13405,24865,39225,75.44,74.94,75.93
22047,LA,Iberville,946,14568,25920,41434,74.92,74.28,75.53
22049,LA,Jackson,754,12651,21699,35104,75.07,74.40,75.73
22051,LA,Jefferson,1221,11618,26270,39109,74.73,74.12,75.34
22053,LA,Jefferson Davis,829,13113,23061,37003,77.28,76.99,77.58
22055,LA,Lafayette,1093,12790,25906,39789,74.77,74.09,75.50
22057,LA,Lafourche,1019,13853,26081,40953,77.49,77.12,77.85
22059,LA,La Salle,729,12850,21598,35177,76.89,76.40,77.34
22061,LA,Lincoln,916,12121,23113,36150,77.43,76.90,77.98
22063,LA,Livingston,1129,14262,27810,43201,75.61,75.18,76.05
22065,LA,Madison,660,10867,18787,30314,71.57,70.72,72.37
22067,LA,Morehouse,831,11963,21935,34729,72.8,72.19,73.40
22069,LA,Natchitoches,846,11969,22121,34936,75.61,75.05,76.14
22071,LA,Orleans,1274,10491,25779,37544,75.8,75.45,76.15
22073,LA,Ouachita,919,11762,22790,35471,75.46,75.06,75.85
22075,LA,Plaquemines,1214,12834,27402,41450,76.84,76.20,77.48
22077,LA,Pointe Coupee,1078,14814,27750,43642,75.81,75.20,76.48
22079,LA,Rapides,943,12864,24180,37987,75.22,74.80,75.62
22081,LA,Red River,605,13128,20388,34121,73.99,73.10,74.90
22083,LA,Richland,742,12878,21782,35402,74.34,73.65,74.98
22085,LA,Sabine,823,12970,22846,36639,75.4,74.80,76.07
22087,LA,St. Bernard,972,12584,24248,37804,74.31,73.75,74.87
22089,LA,St. Charles,1299,13598,29186,44083,76.82,76.29,77.35
22091,LA,St. Helena,826,15118,25030,40974,74.73,73.90,75.62
22093,LA,St. James,917,14097,25101,40115,76.69,76.02,77.37
22095,LA,St. John the Baptist,1192,13459,27763,42414,75,74.42,75.57
22097,LA,St. Landry,760,12055,21175,33990,74.03,73.57,74.50
22099,LA,St. Martin,920,14169,25209,40298,75.92,75.38,76.48
22101,LA,St. Mary,923,12435,23511,36869,75.16,74.60,75.70
22103,LA,St. Tammany,1390,13370,30050,44810,77.64,77.30,78.01
22105,LA,Tangipahoa,965,13080,24660,38705,74.26,73.81,74.70
22107,LA,Tensas,699,12407,20795,33901,74.35,73.38,75.34
22109,LA,Terrebonne,1012,13358,25502,39872,75.4,74.96,75.85
22111,LA,Union,912,13429,24373,38714,75.33,74.67,76.00
22113,LA,Vermilion,837,14135,24179,39151,76.52,76.02,77.03
22115,LA,Vernon,898,13304,24080,38282,75.98,75.47,76.48
22117,LA,Washington,817,12185,21989,34991,72.79,72.25,73.33
22119,LA,Webster,826,13447,23359,37632,74.14,73.62,74.70
22121,LA,West Baton Rouge,1163,13857,27813,42833,75.93,75.25,76.58
22123,LA,West Carroll,752,12675,21699,35126,75.22,74.47,76.02
22125,LA,West Feliciana,1243,14894,29810,45947,76.75,75.95,77.50
22127,LA,Winn,766,12039,21231,34036,74.28,73.55,75.03
23001,ME,Androscoggin,1103,12623,25859,39585,78.28,77.90,78.66
23003,ME,Aroostook,836,12673,22705,36214,78.71,78.32,79.10
23005,ME,Cumberland,1481,12974,30746,45201,80.37,80.09,80.67
23007,ME,Franklin,973,14727,26403,42103,79.22,78.68,79.75
23009,ME,Hancock,1152,13705,27529,42386,79.79,79.33,80.26
23011,ME,Kennebec,1049,13097,25685,39831,78.53,78.18,78.92
23013,ME,Knox,1200,13959,28359,43518,80.29,79.82,80.77
23015,ME,Lincoln,1134,14115,27723,42972,80.11,79.63,80.55
23017,ME,Oxford,1011,14410,26542,41963,78.47,78.00,78.88
23019,ME,Penobscot,1046,13214,25766,40026,78.64,78.28,78.99
23021,ME,Piscataquis,882,13031,23615,37528,78.03,77.41,78.67
23023,ME,Sagadahoc,1277,14100,29424,44801,79.99,79.52,80.48
23025,ME,Somerset,938,13901,25157,39996,78.05,77.58,78.51
23027,ME,Waldo,1140,13703,27383,42226,79.34,78.87,79.82
